Provincia,codigo,Nombre Centro
Granada,18001081C,I.E.S. Laurel de la Reina
Granada,18700244C,I.E.S. Trevenque
Granada,18700633C,I.E.S. Lanjarón
Granada,18005980C,I.E.S. Virgen de la Caridad
Granada,18005992C,I.E.S. Moraima
Granada,18700414C,I.E.S. Alfaguara
Granada,18009109C,I.E.S. NUEVO
Granada,18700657C,I.E.S. Manuel de Falla
Granada,18700669C,I.E.S. Montejícar
Granada,18005220C,I.E.S. Manuel Cañadas
Granada,18007022C,I.E.S. La Zafra
Granada,18007046C,I.E.S. Francisco Javier de Burgos
Granada,18007058C,I.E.S. Julio Rodríguez
Granada,18007083C,E.A. Palacio Ventura
Granada,18700049C,I.E.S. José Martín Recuerda
Granada,18700323C,I.E.S. Beatriz Galindo La Latina
Granada,18700426C,I.E.S. Francisco Giner de los Ríos
Granada,18700803C,I.E.S. Blas Infante
Granada,18700761C,I.E.S. Alpujarra
Granada,18700724C,I.E.S. La Laguna
Granada,18000891C,I.E.S. Clara Campoamor
Granada,18700682C,I.E.S. Sulayr (CdA)
Granada,18700694C,I.E.S. Bulyana
Granada,18700700C,I.E.S. Ribera del Fardes
Huelva,18000519C,I.E.S. Nazarí
Huelva,18009961C,I.E.S. Mediterráneo
Huelva,18008257C,I.E.S. Jiménez de Quesada
Huelva,18009444C,I.E.S. Hispanidad
Huelva,18008464C,I.E.S. Ulyssea
Huelva,18004148C,I.E.S. Escultor Sánchez Mesa
Huelva,18700712C,I.E.S. Al-Zujáyr
Huelva,21700526C,I.E.S. Fuente Juncal
Huelva,21700642C,I.E.S. La Ribera
Huelva,21700654C,I.E.S. Doñana
Huelva,21000310C,I.E.S. La Alborá
Huelva,21700381C,I.E.S. San Blas
Huelva,21700538C,I.E.S. Turóbriga
Huelva,21700496C,I.E.S. González de Aguilar
Huelva,21700502C,I.E.S. Guadiana
Huelva,21700541C,I.E.S. La Campiña
Huelva,21000693C,I.E.S. Delgado Hernández
Huelva,21700423C,I.E.S. San Antonio
Huelva,21700061C,I.E.S. Catedrático Pulido Rubio
Huelva,21003323C,I.E.S. Diego Macías
Huelva,21000899C,I.E.S. Rafael Reyes
Huelva,21700435C,I.E.S. Mapi Valle
Huelva,21700551C,I.E.S. Juan Antonio Pérez Mercader
Huelva,21001028C,I.E.S. San José
Huelva,21700447C,I.E.S. José M. Morón y Barrientos
Huelva,21700034C,I.E.S. Odiel
Huelva,21700563C,I.E.S. El Valle
Huelva,21001892C,I.E.S. La Rábida
Huelva,21001909C,I.E.S. Diego de Guzmán y Quesada
Huelva,21001910C,I.E.S. Alonso Sánchez
Huelva,21001922C,I.E.S. Pintor Pedro Gómez
Huelva,21001995C,I.E.S. Alto Conquero
Huelva,21003301C,I.E.S. La Orden
Huelva,21003712C,I.E.S. Fuentepiña
Huelva,21003980C,I.E.S. José Caballero
Huelva,21004145C,E.A.S.D. León Ortega
Huelva,21700010C,I.E.S. San Sebastián
Huelva,21700046C,I.P.E.P. Huelva
Huelva,21700058C,I.E.S. Pablo Neruda
Huelva,21700356C,I.E.S. Estuaria
Huelva,21700393C,I.E.S. Clara Campoamor
Huelva,21002100C,I.E.S. Padre José Miravent
Huelva,21700575C,I.E.S. Galeón
Huelva,21700587C,I.E.S. San Miguel
Huelva,21700460C,I.E.S. La Palma
Huelva,21700411C,I.E.S. José Antonio Fernández Muriel
Huelva,21700630C,I.E.S. La Arboleda
Huelva,21002975C,I.E.S. Odón Betanzos Palacios
Huelva,21700290C,I.E.S. Cuenca Minera
Huelva,21004169C,I.E.S. Juan Ramón Jiménez
Huelva,21700368C,I.E.S. Francisco Garfias
Huelva,21002483C,I.E.S. Vázquez Díaz
Huelva,21700459C,I.E.S. Alfonso Romero Barcojo
Huelva,21002628C,C.P.I.F.P. Profesor José Luis Graíño
Huelva,21003128C,I.E.S. Carabelas
Huelva,21700204C,I.E.S. Campo de Tejada
Huelva,21003736C,I.E.S. del Andévalo
Huelva,21003074C,I.E.S. Bitácora
Huelva,21700307C,I.E.S. Saltés
Jaén,21700599C,I.E.S. Virgen del Socorro
Huelva,21700514C,I.E.S. Puerta del Andévalo
Huelva,21700371C,I.E.S. Diego Rodríguez Estrada
Huelva,21700319C,I.E.S. Puerta de Andalucía
Huelva,21700401C,I.E.S. Dolmen de Soto
Huelva,21002951C,I.E.S. Don Bosco
Huelva,21003165C,I.E.S. Diego Angulo
Huelva,21700605C,I.E.S. Alcor
Huelva,21700617C,I.E.S. Tres Molinos
Huelva,21700629C,I.E.S. Nuevo Milenio
Jaén,23000106C,I.E.S. Alfonso XI
Jaén,23700542C,I.E.S. Antonio de Mendoza
Jaén,23000246C,I.E.S. Salvador Serrano
Jaén,23000131C,I.E.S. Sierra Morena
Jaén,23000556C,I.E.S. Nuestra Señora de la Cabeza
Jaén,23005694C,I.E.S. Jándula
Jaén,23000261C,I.E.S. Ciudad de Arjona
Jaén,23700591C,I.E.S. Juan del Villar
Jaén,23700608C,I.E.S. Fuentebuena
